"","subplot_id","replicate","plot","subplot","date","species","index","index_value"
"1","DO1E","D",1,"E",2018-07-22,"ACRU","ARI1",-0.001669748
"2","DO1E","D",1,"E",2018-07-22,"ACRU","ARI2",-0.1474905
"3","DO1E","D",1,"E",2018-07-22,"ACRU","CRI1",0.05410118
"4","DO1E","D",1,"E",2018-07-22,"ACRU","CRI2",0.05243144
"5","DO1E","D",1,"E",2018-07-22,"ACRU","SIPI",0.7947882
"6","DO1E","D",1,"E",2018-07-22,"ACRU","FRI",-1.277874
"7","DO1E","D",1,"E",2018-07-22,"ACRU","CNDVI",0.4646993
"8","DO1E","D",1,"E",2018-07-22,"ACRU","Ctr1",1.032639
"9","DO1E","D",1,"E",2018-07-22,"ACRU","Ctr2",0.1587372
"10","DO1E","D",1,"E",2018-07-22,"ACRU","G",2.960649
"11","DO1E","D",1,"E",2018-07-22,"ACRU","GM1",3.806079
"12","DO1E","D",1,"E",2018-07-22,"ACRU","GM2",3.948311
"13","DO1E","D",1,"E",2018-07-22,"ACRU","Lic1",0.8401645
"14","DO1E","D",1,"E",2018-07-22,"ACRU","Lic2",1.277943
"15","DO1E","D",1,"E",2018-07-22,"ACRU","NDVI",0.8401645
"16","DO1E","D",1,"E",2018-07-22,"ACRU","NPCI",-0.2308563
"17","DO1E","D",1,"E",2018-07-22,"ACRU","NPQI",0.07298028
"18","DO1E","D",1,"E",2018-07-22,"ACRU","SRPI",1.600294
"19","DO1E","D",1,"E",2018-07-22,"ACRU","TCARI",43.49583
"20","DO1E","D",1,"E",2018-07-22,"ACRU","TVI",5252.404
"21","DO1E","D",1,"E",2018-07-22,"ACRU","ZMI",2.120443
"22","DO1E","D",1,"E",2018-07-22,"ACRU","MRESRI",7.728642
"23","DO1E","D",1,"E",2018-07-22,"ACRU","RENDVI",0.4646993
"24","DO1E","D",1,"E",2018-07-22,"ACRU","VREI1",1.403377
"25","DO1E","D",1,"E",2018-07-22,"ACRU","VREI2",-0.07119729
"26","DO1E","D",1,"E",2018-07-22,"ACRU","VREI3",-0.07711267
"27","DO1E","D",1,"E",2018-07-22,"ACRU","PRI",0.05401657
"28","DO1E","D",1,"E",2018-07-22,"ACRU","PSRI",-0.01221837
"29","DO1E","D",1,"E",2018-07-22,"ACRU","WBI",0.9321522
"30","DO1E","D",1,"E",2018-07-22,"ACRU","ARI1",-0.000596769
"31","DO1E","D",1,"E",2018-07-22,"ACRU","ARI2",-0.05082051
"32","DO1E","D",1,"E",2018-07-22,"ACRU","CRI1",0.06678797
"33","DO1E","D",1,"E",2018-07-22,"ACRU","CRI2",0.0661912
"34","DO1E","D",1,"E",2018-07-22,"ACRU","SIPI",0.8127738
"35","DO1E","D",1,"E",2018-07-22,"ACRU","FRI",-1.911042
"36","DO1E","D",1,"E",2018-07-22,"ACRU","CNDVI",0.4753009
"37","DO1E","D",1,"E",2018-07-22,"ACRU","Ctr1",1.031752
"38","DO1E","D",1,"E",2018-07-22,"ACRU","Ctr2",0.148025
"39","DO1E","D",1,"E",2018-07-22,"ACRU","G",3.063474
"40","DO1E","D",1,"E",2018-07-22,"ACRU","GM1",4.053251
"41","DO1E","D",1,"E",2018-07-22,"ACRU","GM2",4.102064
"42","DO1E","D",1,"E",2018-07-22,"ACRU","Lic1",0.8543653
"43","DO1E","D",1,"E",2018-07-22,"ACRU","Lic2",1.277448
"44","DO1E","D",1,"E",2018-07-22,"ACRU","NDVI",0.8543653
"45","DO1E","D",1,"E",2018-07-22,"ACRU","NPCI",-0.249328
"46","DO1E","D",1,"E",2018-07-22,"ACRU","NPQI",0.07090382
"47","DO1E","D",1,"E",2018-07-22,"ACRU","SRPI",1.66428
"48","DO1E","D",1,"E",2018-07-22,"ACRU","TCARI",40.66755
"49","DO1E","D",1,"E",2018-07-22,"ACRU","TVI",5061.866
"50","DO1E","D",1,"E",2018-07-22,"ACRU","ZMI",2.159346
"51","DO1E","D",1,"E",2018-07-22,"ACRU","MRESRI",7.10963
"52","DO1E","D",1,"E",2018-07-22,"ACRU","RENDVI",0.4753009
"53","DO1E","D",1,"E",2018-07-22,"ACRU","VREI1",1.408573
"54","DO1E","D",1,"E",2018-07-22,"ACRU","VREI2",-0.0731682
"55","DO1E","D",1,"E",2018-07-22,"ACRU","VREI3",-0.07946123
"56","DO1E","D",1,"E",2018-07-22,"ACRU","PRI",0.05151567
"57","DO1E","D",1,"E",2018-07-22,"ACRU","PSRI",-0.008298125
"58","DO1E","D",1,"E",2018-07-22,"ACRU","WBI",0.9373986
"59","DO1E","D",1,"E",2018-07-22,"ACRU","ARI1",0.000902992
"60","DO1E","D",1,"E",2018-07-22,"ACRU","ARI2",0.07612793
"61","DO1E","D",1,"E",2018-07-22,"ACRU","CRI1",0.06087523
"62","DO1E","D",1,"E",2018-07-22,"ACRU","CRI2",0.06177823
"63","DO1E","D",1,"E",2018-07-22,"ACRU","SIPI",0.8014437
"64","DO1E","D",1,"E",2018-07-22,"ACRU","FRI",-1.686368
"65","DO1E","D",1,"E",2018-07-22,"ACRU","CNDVI",0.4618936
"66","DO1E","D",1,"E",2018-07-22,"ACRU","Ctr1",1.030025
